40;Calle Industria 279;-36.78447307514649;-59.84284864710376;
41;Calle Industria 384;-36.78553901421275;-59.84464430292735;
42;Calle Industria 500;-36.78707881749296;-59.84643876059788;
43;Avenida Piazza 1391;-36.78839322809459;-59.845243089433076;
44;Avenida Piazza 1541;-36.78949630679539;-59.84363314710359;
45;Misia Barranco X H. Yrigoyen;-36.7909860868805;-59.84500110316429;
46;Misia Barranco 702;-36.792144647743385;-59.84676509867696;
47;Julio Argentino Roca 1452;-36.793080130278454;-59.848401587586046;
48;Julio Argentino Roca 1301;-36.791374094109734;-59.851038360597606;
49;Julio Argentino Roca 1216;-36.79009182038959;-59.85234303492062;
50;Julio Argentino Roca 1119;-36.7890559980831;-59.854233731762626;
51;Monseñor Caneva 766;-36.78666733299121;-59.856124302927476;
52;Hipólito Yrigoyen 976;-36.783911788855;-59.85390962011528;
53;Hipólito Yrigoyen 854;-36.78249507917747;-59.8556760587512;
54;Hipólito Yrigoyen 714;-36.780746676237435;-59.85814093176289;
55;Hipólito Yrigoyen 565;-36.77885567305782;-59.86092784710404;
56;Hipólito Yrigoyen 400;-36.77653637562667;-59.86337807224562;
57;Hipólito Yrigoyen 317;-36.77566615495653;-59.8650279894336;
58;Maipú 512;-36.773645809043195;-59.86466056059841;
59;Maipú 461;-36.772982238912846;-59.86353841826884;
60;Maipú 361;-36.77156388444766;-59.861893002928;
61;Maipú 271;-36.77029249328563;-59.86028530292799;
62;Salta 218;-36.76874266165024;-59.85973424525762;
63;Salta 103;-36.767598076002784;-59.86148528758712;
64;Jujuy 283;-36.76879670658752;-59.862942387587104;
65;Malere 92;-36.77006290999342;-59.8650208894337;
66;Jujuy 492;-36.771383271278744;-59.866383577255206;
67;Argentina 118;-36.768020443817;-59.86948184525775;
68;Argentina 253;-36.767111464138274;-59.868040318269195;
69;Argentina 395;-36.76618855176214;-59.8669376182692;
70;Calle Honduras 146;-36.764880097998464;-59.86736783176349;
71;Calle Honduras 261;-36.76477819062093;-59.86967888943398;
72;Bolivia 201;-36.76591618826968;-59.87062696059861;
73;Calle Ecuador 214;-36.7664266841874;-59.87048030477504;
74;Perú X Argentina;-36.76819517727425;-59.86949147409283;
75;De Las Cautivas 641;-36.7707987944772;-59.87220747409291;
76;Avenida Manuel Chavez 192;-36.76937889113535;-59.873960818269104;
77;Av. Chávez X Av. República De Italia;-36.76662388800984;-59.877392636832354;
78;Avenida República De Italia 508;-36.764889839256476;-59.87579442991672;
79;Avenida Mitre Norte 0530;-36.763306726986144;-59.87736296059895;
80;Avenida Bartolomé Mitre 965;-36.76322888022013;-59.877496819586874;
81;Mitre Norte X Calle 108;-36.761027028902596;-59.88074467409323;
82;Calle 108 X Belgrano Norte;-36.76176854433289;-59.88172917593987;
83;Avenida Mitre Norte 412;-36.764911649615826;-59.87586181826919;
84;Avenida República De Italia 624;-36.76612998541966;-59.87713810424504;
85;9 De Julio Oeste 356;-36.76961315751899;-59.87795610292816;
86;Sargento Cabral 614;-36.76782223803972;-59.87622458758705;
87;Avenida Manuel Chavez 246;-36.76911726795958;-59.874129118269224;
88;De Las Cautivas 661;-36.771139111993165;-59.87267217540829;
89;De Las Cautivas 775;-36.77286125086963;-59.874608831763176;
90;Guido Spano Oeste 100;-36.77422406527055;-59.881433931763134;
91;Coronel Santiago Avendaño 1096;-36.77564743433695;-59.880976575407324;
92;Coronel Santiago Avendaño 983;-36.773622558118575;-59.87914256059844;
93;Coronel Santiago Avendaño 901;-36.772812044749955;-59.87853086059851;
94;Escalada 821;-36.77276595677469;-59.875803145257365;
95;Avenida Manuel Chavez 147;-36.77038184684033;-59.87321243307915;
96;De Las Cautivas 609;-36.770278670172296;-59.87167147593956;
97;San Carlos 526;-36.7697210462946;-59.87027196059845;
